1,#,state-#,1 = primary; 2 = (bkgd),Species only (deleted all recording info from column E),Species and Locations (redundant info; leave as is),Family Name,"Taxon group--full length from ""Web--Listen by species"" for LISTEN BY SPECIES web page",Taxon group--shortened for 2nd line of THIS RECORDING on 381 web pages,"Location--full length from file ""Web--Listen by state"" for LISTEN BY STATE",Location--shortened for first line of THIS RECORDING for 381 web pages,,Location--shortened for first line of THIS RECORDING for 381 web pages; EXPERIMENTAL; DO NOT USE THIS COLUMN
310,217,CO-217,1,Sage thrasher,Sage thrasher CO-217,Mimidae,"Mockingbirds, catbirds, thrashers, starlings","Mockingbirds, starlings, +","Sage country, Colorado and Wyoming ","Sage, Colorado and Wyoming ",Colorado and Wyoming: Sage Country,"Sage country, CO & WY "
314,218,CO-218,2,Red-winged blackbird,"Red-winged blackbird IL-101, (KY-121), IL-138, (CO-218), CO-317",Icteridae,Blackbirds,Blackbirds,"Sage country, Colorado and Wyoming ","Sage, Colorado and Wyoming ",Colorado and Wyoming: Sage Country,"Sage country, CO & WY "
313,218,CO-218,2,Common raven ,"Common raven (CO-218), MT-268, (ID-304), ID-344",Corvidae,Jays and crows,Jays and crows,"Sage country, Colorado and Wyoming ","Sage, Colorado and Wyoming ",Colorado and Wyoming: Sage Country,"Sage country, CO & WY "
312,218,CO-218,2,Sora,"Sora (CO-218), (CO-221), (WY-237), WY-261, WY-321",Rallidae,"Rails, cranes","Rails, cranes","Sage country, Colorado and Wyoming ","Sage, Colorado and Wyoming ",Colorado and Wyoming: Sage Country,"Sage country, CO & WY "
311,218,CO-218,1,Wilson’s snipe,"Wilson’s snipe CO-218, MT-276, MT-283",Scolopacidae,"Shorebirds, gulls, guillemots","Shorebirds, gulls, +","Sage country, Colorado and Wyoming ","Sage, Colorado and Wyoming ",Colorado and Wyoming: Sage Country,"Sage country, CO & WY "
315,219,ID-219,1,Brewer’s sparrow,"Brewer’s sparrow CO-215, CO-216, ID-219, ID-220",Emberizidae,Sparrows,Sparrows,Idaho,Idaho,Idaho ,Idaho
316,220,ID-220,1,Brewer’s sparrow ,"Brewer’s sparrow CO-215, CO-216, ID-219, ID-220",Emberizidae,Sparrows,Sparrows,Idaho,Idaho,Idaho ,Idaho
319,221,CO-221,2,Yellow-headed blackbird,"Yellow-headed blackbird (CO-221), CO-280",Icteridae,Blackbirds,Blackbirds,"Sage country, Colorado and Wyoming ","Sage, Colorado and Wyoming ",Colorado and Wyoming: Sage Country,"Sage country, CO & WY "
318,221,CO-221,2,Sora ,"Sora (CO-218), (CO-221), (WY-237), WY-261, WY-321",Rallidae,"Rails, cranes","Rails, cranes","Sage country, Colorado and Wyoming ","Sage, Colorado and Wyoming ",Colorado and Wyoming: Sage Country,"Sage country, CO & WY "
317,221,CO-221,1,Savannah sparrow,"Savannah sparrow CO-221, WY-266, (MT-283)",Emberizidae,Sparrows,Sparrows,"Sage country, Colorado and Wyoming ","Sage, Colorado and Wyoming ",Colorado and Wyoming: Sage Country,"Sage country, CO & WY "
321,222,CO-222,2,Western meadowlark ,"Western meadowlark CO-178, CO-180, (CO-222), CO-229, OR-342",Icteridae,Blackbirds,Blackbirds,"Sage country, Colorado and Wyoming ","Sage, Colorado and Wyoming ",Colorado and Wyoming: Sage Country,"Sage country, CO & WY "
320,222,CO-222,1,Horned lark,"Horned lark CO-222, ID-273, CO-284",Alaudidae,"Larks, swallows","Larks, swallows","Sage country, Colorado and Wyoming ","Sage, Colorado and Wyoming ",Colorado and Wyoming: Sage Country,"Sage country, CO & WY "
322,223,ID-223,1,Rock wren ,"Rock wren CO-185, ID-223, WY-274, OR-329",Troglodytidae,Wrens,Wrens,Idaho,Idaho,Idaho ,Idaho
323,224,CO-224,1,Green-tailed towhee,Green-tailed towhee CO-224,Emberizidae,Sparrows,Sparrows,"Sage country, Colorado and Wyoming ","Sage, Colorado and Wyoming ",Colorado and Wyoming: Sage Country,"Sage country, CO & WY "
324,225,MT-225,1,Willow flycatcher,"Willow flycatcher KY-82, MO-153, (OR-190), MT-225",Tyrannidae,Flycatchers (and cotinga),"Flycatchers, cotinga",Montana (general) ,Montana,Montana: General,Montana
325,226,OR-226,1,American crow,"American crow OR-226, OR-378",Corvidae,Jays and crows,Jays and crows,"Hell’s Canyon, Idaho and Oregon ",Hell’s Canyon,Idaho and Oregon: Hell’s Canyon,Hell’s Canyon
326,226,OR-226,1,Black-billed magpie,"Black-billed magpie OR-226, OR-227, OR-279",Corvidae,Jays and crows,Jays and crows,"Hell’s Canyon, Idaho and Oregon ",Hell’s Canyon,Idaho and Oregon: Hell’s Canyon,Hell’s Canyon
327,227,OR-227,1,Black-billed magpie,"Black-billed magpie OR-226, OR-227, OR-279",Corvidae,Jays and crows,Jays and crows,"Hell’s Canyon, Idaho and Oregon ",Hell’s Canyon,Idaho and Oregon: Hell’s Canyon,Hell’s Canyon
328,228,CO-228,1,Mountain bluebird,"Mountain bluebird CO-228, WY-260",Turdidae,Thrushes,Thrushes,"Sage country, Colorado and Wyoming ","Sage, Colorado and Wyoming ",Colorado and Wyoming: Sage Country,"Sage country, CO & WY "
329,229,CO-229,1,Western meadowlark,"Western meadowlark CO-178, CO-180, (CO-222), CO-229, OR-342",Icteridae,Blackbirds,Blackbirds,"Sage country, Colorado and Wyoming ","Sage, Colorado and Wyoming ",Colorado and Wyoming: Sage Country,"Sage country, CO & WY "
330,230,CO-230,1,Marsh wren ,"Marsh wren CO-230, MT-294, OR-371",Troglodytidae,Wrens,Wrens,"Sage country, Colorado and Wyoming ","Sage, Colorado and Wyoming ",Colorado and Wyoming: Sage Country,"Sage country, CO & WY "
331,231,WY-231,1,Yellow-breasted chat,"Yellow-breasted chat KY-86, IL-88, (MO-129), MO-152, WY-231, WY-236, OR-328",Parulidae,Warblers,Warblers,"Sage country, Colorado and Wyoming ","Sage, Colorado and Wyoming ",Colorado and Wyoming: Sage Country,"Sage country, CO & WY "
332,232,CO-232,1,Loggerhead shrike ,Loggerhead shrike CO-232,Laniidae,"Shrikes, vireos","Shrikes, vireos","Climbing the Rockies, Colorado ","The Rockies, Colorado",Colorado: Riding the Rockies,"Rockies, CO"
333,233,CO-233,1,McCown’s longspur,McCown’s longspur CO-233,Calcariidae,"Waxwing, longspur","Waxwing, longspur","Short grass prairie, Kansas and Colorado",Short grass prairie,Kansas and Colorado: Short Grass Prairie,"Short grass prairie, KS & CO"
334,234,WY-234,1,American goldfinch ,"American goldfinch (OR-207), WY-234, (WY-235), WY-316",Fringillidae,"Finches, house sparrow","Finches, house sparrow","Sage country, Colorado and Wyoming ","Sage, Colorado and Wyoming ",Colorado and Wyoming: Sage Country,"Sage country, CO & WY "
336,235,WY-235,2,American goldfinch ,"American goldfinch (OR-207), WY-234, (WY-235), WY-316",Fringillidae,"Finches, house sparrow","Finches, house sparrow","Sage country, Colorado and Wyoming ","Sage, Colorado and Wyoming ",Colorado and Wyoming: Sage Country,"Sage country, CO & WY "
335,235,WY-235,1,Spotted towhee,"Spotted towhee CO-194, (OR-207), WY-235, ID-298, OR-354, (OR-359), OR-374, OR-375, OR-378 ",Emberizidae,Sparrows,Sparrows,"Sage country, Colorado and Wyoming ","Sage, Colorado and Wyoming ",Colorado and Wyoming: Sage Country,"Sage country, CO & WY "
338,236,WY-236,2,Brown-headed cowbird ,"Brown-headed cowbird VA-87, KY-115, (KS-162), MO-163, MT-281, (WY-236), (MT-290), (OR-339)",Icteridae,Blackbirds,Blackbirds,"Sage country, Colorado and Wyoming ","Sage, Colorado and Wyoming ",Colorado and Wyoming: Sage Country,"Sage country, CO & WY "
337,236,WY-236,1,Yellow-breasted chat,"Yellow-breasted chat KY-86, IL-88, (MO-129), MO-152, WY-231, WY-236, OR-328",Parulidae,Warblers,Warblers,"Sage country, Colorado and Wyoming ","Sage, Colorado and Wyoming ",Colorado and Wyoming: Sage Country,"Sage country, CO & WY "
340,237,WY-237,2,Sora,"Sora (CO-218), (CO-221), (WY-237), WY-261, WY-321",Rallidae,"Rails, cranes","Rails, cranes","Sage country, Colorado and Wyoming ","Sage, Colorado and Wyoming ",Colorado and Wyoming: Sage Country,"Sage country, CO & WY "
339,237,WY-237,1,Virginia rail,VA rail WY-237,Rallidae,"Rails, cranes","Rails, cranes","Sage country, Colorado and Wyoming ","Sage, Colorado and Wyoming ",Colorado and Wyoming: Sage Country,"Sage country, CO & WY "
341,238,MT-238,1,Least flycatcher,"Least flycatcher VA-54, VA-55, MT-238",Tyrannidae,Flycatchers (and cotinga),"Flycatchers, cotinga",Montana (general) ,Montana,Montana: General,Montana
342,238,MT-238,1,Gray catbird ,"Gray catbird (VA-22), VA-28, MT-238, MT-277, OR-324",Mimidae,"Mockingbirds, catbirds, thrashers, starlings","Mockingbirds, starlings, +",Montana (general) ,Montana,Montana: General,Montana
343,239,OR-239,1,White-throated swift,White-throated swift OR-239,Apodidae,"Swifts, hummingbirds","Swifts, hummingbirds",Eastern Oregon ,Eastern Oregon,Oregon: Eastern ,Eastern OR
344,240,WY-240,1,Pine siskin ,"Pine siskin WY-240, (WY-248)",Fringillidae,"Finches, house sparrow","Finches, house sparrow","Yellowstone National Park, Wyoming ","Yellowstone, Wyoming ",Wyoming: Yellowstone National Park,"Yellowstone, WY "
345,241,CO-241,1,Olive-sided flycatcher ,"Olive-sided flycatcher CO-241, MT-348",Tyrannidae,Flycatchers (and cotinga),"Flycatchers, cotinga","Climbing the Rockies, Colorado ","The Rockies, Colorado",Colorado: Riding the Rockies,"Rockies, CO"
346,242,WY-242,1,Warbling vireo,"Warbling vireo IL-124, WY-242, OR-325, OR-365",Vireonidae,"Shrikes, vireos","Shrikes, vireos","Grand Teton National Park, Wyoming ","Tetons, Wyoming",Wyoming: Grand Teton National Park,"Grand Tetons, WY"
347,243,MT-243,1,Swainson’s thrush,"Swainson’s thrush MT-243, OR-354, OR-372, OR-373 ",Turdidae,Thrushes,Thrushes,"Big Hole National Battlefield, and Chief Joseph Pass, Montana ","Big Hole, Montana","Montana: Big Hole National Battlefield, Chief Joseph Pass","Big Hole & Chief Joseph, MT"
348,244,WY-244,1,American robin,"American robin, VA-1, VA-53, WY-244, MT-285, (ID-298)",Turdidae,Thrushes,Thrushes,"Grand Teton National Park, Wyoming ","Tetons, Wyoming",Wyoming: Grand Teton National Park,"Grand Tetons, WY"
349,245,WY-245,1,Dusky flycatcher,Dusky flycatcher WY-245,Tyrannidae,Flycatchers (and cotinga),"Flycatchers, cotinga","Grand Teton National Park, Wyoming ","Tetons, Wyoming",Wyoming: Grand Teton National Park,"Grand Tetons, WY"
350,246,OR-246,1,Western tanager ,"Western tanager OR-246, WY-247, WY-248, OR-249, OR-311, (OR-336)",Cardinalidae,"Cardinals, tanagers, grosbeaks, buntings","Cardinals, tanagers, +",Eastern Oregon ,Eastern Oregon,Oregon: Eastern ,Eastern OR
351,247,WY-247,1,Western tanager ,"Western tanager OR-246, WY-247, WY-248, OR-249, OR-311, (OR-336)",Cardinalidae,"Cardinals, tanagers, grosbeaks, buntings","Cardinals, tanagers, +",Eastern Oregon ,Eastern Oregon,Oregon: Eastern ,Eastern OR
352,247,WY-247,2,Chipping sparrow ,"Chipping sparrow VA-14, VA-15, (VA-85), IL-135, MO-145, (IL-146), (WY-247)",Emberizidae,Sparrows,Sparrows,Eastern Oregon ,Eastern Oregon,Oregon: Eastern ,Eastern OR
353,248,WY-248,1,Western tanager ,"Western tanager OR-246, WY-247, WY-248, OR-249, OR-311, (OR-336)",Cardinalidae,"Cardinals, tanagers, grosbeaks, buntings","Cardinals, tanagers, +","Grand Teton National Park, Wyoming ","Tetons, Wyoming",Wyoming: Grand Teton National Park,"Grand Tetons, WY"
354,248,WY-248,2,Pine siskin ,"Pine siskin WY-240, (WY-248)",Fringillidae,"Finches, house sparrow","Finches, house sparrow","Grand Teton National Park, Wyoming ","Tetons, Wyoming",Wyoming: Grand Teton National Park,"Grand Tetons, WY"
355,249,OR-249,1,Western tanager ,"Western tanager OR-246, WY-247, WY-248, OR-249, OR-311, (OR-336)",Cardinalidae,"Cardinals, tanagers, grosbeaks, buntings","Cardinals, tanagers, +","Grand Teton National Park, Wyoming ","Tetons, Wyoming",Wyoming: Grand Teton National Park,"Grand Tetons, WY"
356,250,WY-250,1,Barn swallow,"Barn swallow (KY-82), WY-250",Hirundinidae,"Larks, swallows","Larks, swallows","Grand Teton National Park, Wyoming ","Tetons, Wyoming",Wyoming: Grand Teton National Park,"Grand Tetons, WY"
359,251,WY-251,2,Red-breasted nuthatch,"Red-breasted nuthatch VA-60, (WY-251), (ID-304)",Sittidae,"Bushtit, nuthatches, creepers","Bushtit, nuthatches, +","Grand Teton National Park, Wyoming ","Tetons, Wyoming",Wyoming: Grand Teton National Park,"Grand Tetons, WY"
358,251,WY-251,2,Red-naped sapsucker,"Red-naped sapsucker (CO-213), (WY-251), MT-291",Picidae,"Kingfisher, woodpeckers","Kingfisher, woodpeckers","Grand Teton National Park, Wyoming ","Tetons, Wyoming",Wyoming: Grand Teton National Park,"Grand Tetons, WY"
357,251,WY-251,1,Dark-eyed junco ,"Dark-eyed junco VA-63, WY-251, OR-336, OR-375",Emberizidae,Sparrows,Sparrows,"Grand Teton National Park, Wyoming ","Tetons, Wyoming",Wyoming: Grand Teton National Park,"Grand Tetons, WY"
360,251,WY-251,2,MacGillivray’s warbler,"MacGillivray’s warbler (CO-213), (WY-251), MT-289",Parulidae,Warblers,Warblers,"Grand Teton National Park, Wyoming ","Tetons, Wyoming",Wyoming: Grand Teton National Park,"Grand Tetons, WY"
361,252,WY-252,1,Red crossbill ,Red crossbill WY-252,Fringillidae,"Finches, house sparrow","Finches, house sparrow","Grand Teton National Park, Wyoming ","Tetons, Wyoming",Wyoming: Grand Teton National Park,"Grand Tetons, WY"
362,253,WY-253,1,Vesper sparrow ,Vesper sparrow WY-253,Emberizidae,Sparrows,Sparrows,"Grand Teton National Park, Wyoming ","Tetons, Wyoming",Wyoming: Grand Teton National Park,"Grand Tetons, WY"
363,254,WY-254,1,Weather forecast,Weather forecast WY-254,Miscellaneous,"Miscellaneous (dogs, geysers, cattle, etc.)",Miscellaneous (dogs +),"Grand Teton National Park, Wyoming ","Tetons, Wyoming",Wyoming: Grand Teton National Park,"Grand Tetons, WY"
364,255,ID-255,1,Broad-tailed hummingbird ,"Broad-tailed hummingbird CO-203, CO-204, ID-255",Trochilidae,"Swifts, hummingbirds","Swifts, hummingbirds",Idaho,Idaho,Idaho ,Idaho
365,256,CO-256,1,Hermit thrush ,"Hermit thrush CO-206, CO-256, OR-334, OR-347",Turdidae,Thrushes,Thrushes,"Climbing the Rockies, Colorado ","The Rockies, Colorado",Colorado: Riding the Rockies,"Rockies, CO"
366,257,WY-257,1,Ear spring geyser,"Geysers WY-257, WY-258, WY-259",Miscellaneous,"Miscellaneous (dogs, geysers, cattle, etc.)",Miscellaneous (dogs +),"Yellowstone National Park, Wyoming ","Yellowstone, Wyoming ",Wyoming: Yellowstone National Park,"Yellowstone, WY "
367,258,WY-258,1,Daisy geyser,"Geysers WY-257, WY-258, WY-259",Miscellaneous,"Miscellaneous (dogs, geysers, cattle, etc.)",Miscellaneous (dogs +),"Yellowstone National Park, Wyoming ","Yellowstone, Wyoming ",Wyoming: Yellowstone National Park,"Yellowstone, WY "
368,259,WY-259,1,Grotto geyser,"Geysers WY-257, WY-258, WY-259",Miscellaneous,"Miscellaneous (dogs, geysers, cattle, etc.)",Miscellaneous (dogs +),"Yellowstone National Park, Wyoming ","Yellowstone, Wyoming ",Wyoming: Yellowstone National Park,"Yellowstone, WY "
369,260,WY-260,1,Mountain bluebird,"Mountain bluebird CO-228, WY-260",Turdidae,Thrushes,Thrushes,"Yellowstone National Park, Wyoming ","Yellowstone, Wyoming ",Wyoming: Yellowstone National Park,"Yellowstone, WY "
370,261,WY-261,1,Sora,"Sora (CO-218), (CO-221), (WY-237), WY-261, WY-321",Rallidae,"Rails, cranes","Rails, cranes","Yellowstone National Park, Wyoming ","Yellowstone, Wyoming ",Wyoming: Yellowstone National Park,"Yellowstone, WY "
372,262,WY-262,2,Mountain chickadee ,"Mountain chickadee CO-209, CO-214, WY-267, (WY-262)",Paridae,"Chickadees, titmouse","Chickadees, titmouse","Yellowstone National Park, Wyoming ","Yellowstone, Wyoming ",Wyoming: Yellowstone National Park,"Yellowstone, WY "
373,262,WY-262,2,Ruby-crowned kinglet,"Ruby-crowned kinglet CO-210, (WY-262), WY-265",Regulidae,"Gnatcatchers, kinglets, wrentit","Gnatcatchers, kinglets, +","Yellowstone National Park, Wyoming ","Yellowstone, Wyoming ",Wyoming: Yellowstone National Park,"Yellowstone, WY "
371,262,WY-262,1,Yellow-rumped warbler,Yellow-rumped warbler WY-262,Parulidae,Warblers,Warblers,"Yellowstone National Park, Wyoming ","Yellowstone, Wyoming ",Wyoming: Yellowstone National Park,"Yellowstone, WY "
374,263,WY-263,1,Cassin’s finch ,"Cassin’s finch WY-263, WY-264",Fringillidae,"Finches, house sparrow","Finches, house sparrow","Yellowstone National Park, Wyoming ","Yellowstone, Wyoming ",Wyoming: Yellowstone National Park,"Yellowstone, WY "
375,264,WY-264,1,Cassin’s finch ,"Cassin’s finch WY-263, WY-264",Fringillidae,"Finches, house sparrow","Finches, house sparrow","Yellowstone National Park, Wyoming ","Yellowstone, Wyoming ",Wyoming: Yellowstone National Park,"Yellowstone, WY "
376,265,WY-265,1,Ruby-crowned kinglet,"Ruby-crowned kinglet CO-210, (WY-262), WY-265",Regulidae,"Gnatcatchers, kinglets, wrentit","Gnatcatchers, kinglets, +","Yellowstone National Park, Wyoming ","Yellowstone, Wyoming ",Wyoming: Yellowstone National Park,"Yellowstone, WY "
377,266,WY-266,2,Spotted sandpiper ,Spotted sandpiper (WY-266),Scolopacidae,"Shorebirds, gulls, guillemots","Shorebirds, gulls, +","Yellowstone National Park, Wyoming ","Yellowstone, Wyoming ",Wyoming: Yellowstone National Park,"Yellowstone, WY "
378,266,WY-266,1,Savannah sparrow,"Savannah sparrow CO-221, WY-266, (MT-283)",Emberizidae,Sparrows,Sparrows,"Yellowstone National Park, Wyoming ","Yellowstone, Wyoming ",Wyoming: Yellowstone National Park,"Yellowstone, WY "
379,267,WY-267,1,Mountain chickadee ,"Mountain chickadee CO-209, CO-214, WY-267, (WY-262)",Paridae,"Chickadees, titmouse","Chickadees, titmouse","Yellowstone National Park, Wyoming ","Yellowstone, Wyoming ",Wyoming: Yellowstone National Park,"Yellowstone, WY "
380,268,MT-268,1,Common raven ,"Common raven (CO-218), MT-268, (ID-304), ID-344",Corvidae,Jays and crows,Jays and crows,"Big Hole National Battlefield, and Chief Joseph Pass, Montana ","Big Hole, Montana","Montana: Big Hole National Battlefield, Chief Joseph Pass","Big Hole & Chief Joseph, MT"
381,268,MT-268,2,Sandhill crane,"Sandhill crane (CO-213), (MT-268), MT-272, (MT-285), (MT-290)",Gruidae,"Rails, cranes","Rails, cranes","Big Hole National Battlefield, and Chief Joseph Pass, Montana ","Big Hole, Montana","Montana: Big Hole National Battlefield, Chief Joseph Pass","Big Hole & Chief Joseph, MT"
382,269,MT-269,1,White-crowned sparrow ,"White-crowned sparrow CO-212, MT-269, MT-270, MT-271, MT-286",Emberizidae,Sparrows,Sparrows,Montana (general) ,Montana,Montana: General,Montana
383,270,MT-270,1,White-crowned sparrow ,"White-crowned sparrow CO-212, MT-269, MT-270, MT-271, MT-286",Emberizidae,Sparrows,Sparrows,Montana (general) ,Montana,Montana: General,Montana
385,271,MT-271,2,Ruffed grouse ,"Ruffed grouse (MT-271), (MT-290), ID-305, ID-306",Phasianidae,"Quail, grouse, pheasants","Quail, grouse, +",Montana (general) ,Montana,Montana: General,Montana
384,271,MT-271,1,White-crowned sparrow ,"White-crowned sparrow CO-212, MT-269, MT-270, MT-271, MT-286",Emberizidae,Sparrows,Sparrows,Montana (general) ,Montana,Montana: General,Montana
386,272,MT-272,1,Sandhill crane ,"Sandhill crane (CO-213), (MT-268), MT-272, (MT-285), (MT-290)",Gruidae,"Rails, cranes","Rails, cranes","Big Hole National Battlefield, and Chief Joseph Pass, Montana ","Big Hole, Montana","Montana: Big Hole National Battlefield, Chief Joseph Pass","Big Hole & Chief Joseph, MT"
387,273,ID-273,1,Horned lark ,"Horned lark CO-222, ID-273, CO-284",Alaudidae,"Larks, swallows","Larks, swallows",Idaho,Idaho,Idaho ,Idaho
389,274,WY-274,2,Canada goose ,"Canada goose (WY-274), MT-287",Anatidae,"Ducks, geese","Ducks, geese","Sage country, Colorado and Wyoming ","Sage, Colorado and Wyoming ",Colorado and Wyoming: Sage Country,"Sage country, CO & WY "
390,274,WY-274,2,Willet ,"Willet (VA-8), (WY-274), (OR-342)",Scolopacidae,"Shorebirds, gulls, guillemots","Shorebirds, gulls, +","Sage country, Colorado and Wyoming ","Sage, Colorado and Wyoming ",Colorado and Wyoming: Sage Country,"Sage country, CO & WY "
388,274,WY-274,1,Rock wren ,"Rock wren CO-185, ID-223, WY-274, OR-329",Troglodytidae,Wrens,Wrens,"Sage country, Colorado and Wyoming ","Sage, Colorado and Wyoming ",Colorado and Wyoming: Sage Country,"Sage country, CO & WY "
391,275,MT-275,1,Western wood-pewee ,"Western wood-pewee OR-201, OR-207, MT-275",Tyrannidae,Flycatchers (and cotinga),"Flycatchers, cotinga",Montana (general) ,Montana,Montana: General,Montana
392,276,MT-276,1,Wilson’s snipe ,"Wilson’s snipe CO-218, MT-276, MT-283",Scolopacidae,"Shorebirds, gulls, guillemots","Shorebirds, gulls, +","Big Hole National Battlefield, and Chief Joseph Pass, Montana ","Big Hole, Montana","Montana: Big Hole National Battlefield, Chief Joseph Pass","Big Hole & Chief Joseph, MT"
393,277,MT-277,1,Gray catbird ,"Gray catbird (VA-22), VA-28, MT-238, MT-277, OR-324",Mimidae,"Mockingbirds, catbirds, thrashers, starlings","Mockingbirds, starlings, +",Montana (general) ,Montana,Montana: General,Montana
394,278,MT-278,1,Bobolink ,Bobolink MT-278,Icteridae,Blackbirds,Blackbirds,Montana (general) ,Montana,Montana: General,Montana
395,279,OR-279,1,Black-billed magpie ,"Black-billed magpie OR-226, OR-227, OR-279",Corvidae,Jays and crows,Jays and crows,"Hell’s Canyon, Idaho and Oregon ",Hell’s Canyon,Idaho and Oregon: Hell’s Canyon,Hell’s Canyon
396,280,CO-280,1,Yellow-headed blackbird ,"Yellow-headed blackbird (CO-221), CO-280",Icteridae,Blackbirds,Blackbirds,"Sage country, Colorado and Wyoming ","Sage, Colorado and Wyoming ",Colorado and Wyoming: Sage Country,"Sage country, CO & WY "
397,281,MT-281,1,Brown-headed cowbird,"Brown-headed cowbird VA-87, KY-115, (KS-162), MO-163, MT-281, (WY-236), (MT-290), (OR-339)",Icteridae,Blackbirds,Blackbirds,"Big Hole National Battlefield, and Chief Joseph Pass, Montana ","Big Hole, Montana","Montana: Big Hole National Battlefield, Chief Joseph Pass","Big Hole & Chief Joseph, MT"
398,282,KS-282,1,Cattle,Cattle KS-282,Miscellaneous,"Miscellaneous (dogs, geysers, cattle, etc.)",Miscellaneous (dogs +),Kansas,Kansas,Kansas,Kansas
399,283,MT-283,1,Wilson’s snipe ,"Wilson’s snipe CO-218, MT-276, MT-283",Scolopacidae,"Shorebirds, gulls, guillemots","Shorebirds, gulls, +","Big Hole National Battlefield, and Chief Joseph Pass, Montana ","Big Hole, Montana","Montana: Big Hole National Battlefield, Chief Joseph Pass","Big Hole & Chief Joseph, MT"
400,283,MT-283,2,Savannah sparrow,"Savannah sparrow CO-221, WY-266, (MT-283)",Emberizidae,Sparrows,Sparrows,"Big Hole National Battlefield, and Chief Joseph Pass, Montana ","Big Hole, Montana","Montana: Big Hole National Battlefield, Chief Joseph Pass","Big Hole & Chief Joseph, MT"
401,284,CO-284,1,Horned lark ,"Horned lark CO-222, ID-273, CO-284",Alaudidae,"Larks, swallows","Larks, swallows","Short grass prairie, Kansas and Colorado",Short grass prairie,Kansas and Colorado: Short Grass Prairie,"Short grass prairie, KS & CO"
403,285,MT-285,2,Sandhill crane,"Sandhill crane (CO-213), (MT-268), MT-272, (MT-285), (MT-290)",Gruidae,"Rails, cranes","Rails, cranes","Big Hole National Battlefield, and Chief Joseph Pass, Montana ","Big Hole, Montana","Montana: Big Hole National Battlefield, Chief Joseph Pass","Big Hole & Chief Joseph, MT"
402,285,MT-285,1,American robin,"American robin, VA-1, VA-53, WY-244, MT-285, (ID-298)",Turdidae,Thrushes,Thrushes,"Big Hole National Battlefield, and Chief Joseph Pass, Montana ","Big Hole, Montana","Montana: Big Hole National Battlefield, Chief Joseph Pass","Big Hole & Chief Joseph, MT"
404,286,MT-286,1,White-crowned sparrow,"White-crowned sparrow CO-212, MT-269, MT-270, MT-271, MT-286",Emberizidae,Sparrows,Sparrows,"Big Hole National Battlefield, and Chief Joseph Pass, Montana ","Big Hole, Montana","Montana: Big Hole National Battlefield, Chief Joseph Pass","Big Hole & Chief Joseph, MT"
405,287,MT-287,1,Canada goose,"Canada goose (WY-274), MT-287",Anatidae,"Ducks, geese","Ducks, geese","Big Hole National Battlefield, and Chief Joseph Pass, Montana ","Big Hole, Montana","Montana: Big Hole National Battlefield, Chief Joseph Pass","Big Hole & Chief Joseph, MT"
407,287,MT-287,1,Veery ,"Veery VA-51, MT-287, ID-323",Turdidae,Thrushes,Thrushes,"Big Hole National Battlefield, and Chief Joseph Pass, Montana ","Big Hole, Montana","Montana: Big Hole National Battlefield, Chief Joseph Pass","Big Hole & Chief Joseph, MT"
406,287,MT-287,1,Northern waterthrush,"Northern waterthrush MT-287, MT-288",Parulidae,Warblers,Warblers,"Big Hole National Battlefield, and Chief Joseph Pass, Montana ","Big Hole, Montana","Montana: Big Hole National Battlefield, Chief Joseph Pass","Big Hole & Chief Joseph, MT"
408,288,MT-288,1,Black-capped chickadee,"Black-capped chickadee VA-58, OR-182, MT-288, OR-359",Paridae,"Chickadees, titmouse","Chickadees, titmouse","Big Hole National Battlefield, and Chief Joseph Pass, Montana ","Big Hole, Montana","Montana: Big Hole National Battlefield, Chief Joseph Pass","Big Hole & Chief Joseph, MT"
411,288,MT-288,2,Song sparrow ,"Song sparrow VA-50, (VA-56), (MT-288), OR-327, ID-351",Emberizidae,Sparrows,Sparrows,"Big Hole National Battlefield, and Chief Joseph Pass, Montana ","Big Hole, Montana","Montana: Big Hole National Battlefield, Chief Joseph Pass","Big Hole & Chief Joseph, MT"
409,288,MT-288,1,Northern waterthrush,"Northern waterthrush MT-287, MT-288",Parulidae,Warblers,Warblers,"Big Hole National Battlefield, and Chief Joseph Pass, Montana ","Big Hole, Montana","Montana: Big Hole National Battlefield, Chief Joseph Pass","Big Hole & Chief Joseph, MT"
410,288,MT-288,1,Yellow warbler ,"Yellow warbler WY-69, IL-94, (OR-190), MT-288, ID-309, ID-310, WY-316",Parulidae,Warblers,Warblers,"Big Hole National Battlefield, and Chief Joseph Pass, Montana ","Big Hole, Montana","Montana: Big Hole National Battlefield, Chief Joseph Pass","Big Hole & Chief Joseph, MT"
412,289,MT-289,1,Clark’s nutcracker ,"Clark’s nutcracker CO-206, MT-289",Corvidae,Jays and crows,Jays and crows,"Big Hole National Battlefield, and Chief Joseph Pass, Montana ","Big Hole, Montana","Montana: Big Hole National Battlefield, Chief Joseph Pass","Big Hole & Chief Joseph, MT"
413,289,MT-289,1,MacGillivray’s warbler ,"MacGillivray’s warbler (CO-213), (WY-251), MT-289",Parulidae,Warblers,Warblers,"Big Hole National Battlefield, and Chief Joseph Pass, Montana ","Big Hole, Montana","Montana: Big Hole National Battlefield, Chief Joseph Pass","Big Hole & Chief Joseph, MT"
